,lat,lng,title,rating,coordinate
120,35.704,139.7669,自家焙煎珈琲 みじんこ,,"(35.704, 139.7669)"
121,35.7028,139.7705,秋葉原ラーメンわいず,4.6,"(35.7028, 139.7705)"
122,35.6693,139.7671,俺のデリカテッセン by俺のGrand Market,4.6,"(35.6693, 139.7671)"
123,35.6892,139.7353,生パスタ専門店デサリータ市ヶ谷,,"(35.6892, 139.7353)"
124,35.6664,139.7574,味仙 東京ニュー新橋ビル店 Misentokyo Tōkyōnewshinbashibiruten,4.7,"(35.6664, 139.7574)"
125,35.6788,139.7759,Uber Eats Market 日本橋兜町店 (Nihonbashi Kabutocho),4.8,"(35.6788, 139.7759)"
126,35.6664,139.7574,からあげ専門店 からやま 新橋店,4.6,"(35.6664, 139.7574)"
127,35.7007,139.7706,カレー食堂 心 秋葉原店 carry shokudou cocoro akibaten,,"(35.7007, 139.7706)"
128,35.6907,139.7696,究極のブロッコリーと鶏胸肉 神田店 The ultimate broccoli & chicken breast Kanda,4.7,"(35.6907, 139.7696)"
129,35.6666,139.7571,野菜を食べるカレーcamp 新橋店 Curry Camp SHINBASHI,4.7,"(35.6666, 139.7571)"
130,35.7,139.7485,シーフードビストロ　魚卵 House Eni,,"(35.7, 139.7485)"
131,35.683,139.7733,大阪王将 東京日本橋店 Osaka Ohsho Tokyo Nihonbashi,4.3,"(35.683, 139.7733)"
132,35.6743,139.764,バインセオサイゴン有楽町 Banh Xeo Saigon Yurakucho,,"(35.6743, 139.764)"
133,35.7081,139.7753,楊國福マーラータン 上野店 Yangguofumalatang,,"(35.7081, 139.7753)"
134,35.6742,139.7644,Cafe＆Dining ballo ballo 銀座店,4.1,"(35.6742, 139.7644)"
135,35.6749,139.765,サーティワン アイスクリーム 銀座ＩＮＺ店 31 IceCream Ginza INZ,4.7,"(35.6749, 139.765)"
136,35.6703,139.7655,NYC GRILL & SALAD ニューヨーク グリル＆サラダ 銀座店,4.6,"(35.6703, 139.7655)"
137,35.6933,139.7714,ピザハット 神田店 Pizza Hut KANDA,4.7,"(35.6933, 139.7714)"
138,35.6811,139.769,タイ料理 サイアムオーキッド 八重洲地下街南口店,,"(35.6811, 139.769)"
139,35.7107,139.7761,韓国料理 トンマッコル 上野店,4.6,"(35.7107, 139.7761)"
140,35.6734,139.7379,韓国料理カンガンスルレ 東館 Korean food Kangansurure,4.5,"(35.6734, 139.7379)"
141,35.6642,139.7526,韓国家庭料理 江南（カンナム） Korean family Gangnam,,"(35.6642, 139.7526)"
142,35.6773,139.7374,中国名菜 陳麻婆豆腐 赤坂東急プラザ店,4.6,"(35.6773, 139.7374)"
143,35.6705,139.769,ファームトゥーゴー FARM TO GO,,"(35.6705, 139.769)"
7,35.6521,139.7454,厚切り牛たん まつしま 三田店 Gyutan Matsushima Mitaten,4.7,"(35.6521, 139.7454)"
13,35.6709,139.765,【オムライス＆ナポリタン専門店】レオンキッチン 銀座五丁目店,4.4,"(35.6709, 139.765)"
19,35.6732,139.7364,低糖質グリル食堂 赤坂店 Low carb Grill Restaurant,,"(35.6732, 139.7364)"
22,35.6829,139.7642,店内炊き上げ おかゆ専門店 粥餐庁（かゆさんちん） 新丸ビル店,4.8,"(35.6829, 139.7642)"
37,35.6651,139.7702,つきぢ神楽寿司 新館 Tsukijikagurasusi,,"(35.6651, 139.7702)"
39,35.6684,139.7695,健康中華 青蓮 東銀座店 Healthy Chinese SEIREN Higashi-Ginza,,"(35.6684, 139.7695)"
40,35.6727,139.7683,マクドナルド 銀座二丁目ビル店 McDonald's GINZA 2 CHOME BILLDING,4.6,"(35.6727, 139.7683)"
41,35.6813,139.764,【スムージー＆サンドイッチ専門店】フィコ&ポムム ジュース 丸ビル店 Marunouchi Bldg.,,"(35.6813, 139.764)"
42,35.6858,139.783,人形町麻辣湯（新宿麻辣湯人形町店）,4.6,"(35.6858, 139.783)"
43,35.6909,139.771,ゴーゴーカレー 神田駅南口パ－ク GoGoCurry KANDAEKI MINAMIGUCHI PARK,,"(35.6909, 139.771)"
